행정시,읍면동,거래금액(만원),버스정류장,학교,마을안전시설,마을 편의 시설,응급실보유병원,장애인 복지 시설/기관,영화관,백분위,순위,비고
제주시,아라일동 ,47290,55,5,0,0,1,10,1,100.0,1,"응급실보유병원 있음, 장애인 복지 시설/기관 Top2 (10개), 거래금액 Top3 (47,290만원)"
제주시,이도이동 ,36263,54,9,0,0,1,7,1,92.73,2,응급실보유병원 있음
제주시,애월읍,27543,366,27,41,294,0,6,0,86.98,3,"버스정류장 Top1 (366개), 학교 Top1 (27개), 마을안전시설 Top3 (41개), 마을 편의 시설 Top1 (294개)"
제주시,한림읍,21805,210,15,47,270,0,6,1,84.8,4,마을안전시설 Top2 (47개)
제주시,연동 ,28474,67,8,0,0,1,4,1,84.09,5,응급실보유병원 있음
제주시,조천읍,24508,317,16,33,271,0,7,0,76.92,6,"버스정류장 Top2 (317개), 마을 편의 시설 Top3 (271개)"
서귀포시,동홍동 ,19762,59,7,0,0,1,3,0,67.32,7,응급실보유병원 있음
제주시,이도일동 ,29029,14,2,0,0,0,21,0,65.47,8,장애인 복지 시설/기관 Top1 (21개)
제주시,이호이동 ,26915,13,0,0,0,1,0,1,64.46,9,응급실보유병원 있음
서귀포시,대정읍,22066,160,15,58,201,0,4,0,64.4,10,마을안전시설 Top1 (58개)
서귀포시,남원읍,22251,295,16,28,185,0,4,0,60.4,11,버스정류장 Top3 (295개)
제주시,삼도일동 ,24306,16,4,0,0,1,2,0,59.9,12,응급실보유병원 있음
제주시,구좌읍,23519,244,21,26,278,0,1,0,53.28,13,"학교 Top2 (21개), 마을 편의 시설 Top2 (278개)"
서귀포시,성산읍,11103,221,18,22,244,0,1,0,47.05,14,학교 Top3 (18개)
제주시,노형동 ,40833,95,12,0,0,0,6,1,43.12,15,
서귀포시,안덕면,25192,197,11,18,230,0,1,0,39.72,16,
서귀포시,표선면,24479,215,11,22,138,0,1,0,38.75,17,
제주시,한경면,23531,199,10,20,207,0,0,0,36.25,18,
서귀포시,서귀동 ,16377,57,5,0,0,0,8,0,30.53,19,장애인 복지 시설/기관 Top3 (8개)
제주시,화북이동 ,47741,32,1,0,0,0,7,0,23.88,20,"거래금액 Top2 (47,741만원)"
제주시,삼양이동 ,31470,16,2,0,0,0,2,1,20.82,21,
서귀포시,토평동 ,12020,56,3,0,0,0,4,0,17.41,22,
서귀포시,서홍동 ,22767,36,5,0,0,0,4,0,16.96,23,
서귀포시,법환동 ,12502,30,2,0,0,0,0,1,15.74,24,
제주시,월평동 ,52282,22,2,0,0,0,4,0,14.58,25,"거래금액 Top1 (52,282만원)"
제주시,용담이동 ,20673,38,2,0,0,0,3,0,12.66,26,
서귀포시,호근동 ,27182,36,3,0,33,0,2,0,11.39,27,
제주시,일도이동 ,27274,48,8,0,0,0,1,0,10.13,28,
제주시,건입동 ,21865,30,4,0,0,0,2,0,10.02,29,
제주시,삼도이동 ,27256,11,6,0,0,0,2,0,9.64,30,
제주시,도남동 ,28172,19,2,0,0,0,2,0,8.31,31,
제주시,오라이동 ,33930,37,3,0,0,0,1,0,7.01,32,
제주시,화북일동 ,26892,27,9,0,0,0,0,0,6.11,33,
제주시,도련일동 ,28522,21,3,0,0,0,1,0,5.9,34,
서귀포시,강정동 ,45783,64,3,0,0,0,0,0,5.86,35,
제주시,용담일동 ,26874,18,3,0,0,0,1,0,5.69,36,
제주시,봉개동 ,24720,59,3,0,0,0,0,0,5.51,37,
제주시,외도일동 ,26486,21,0,0,0,0,1,0,4.49,38,
서귀포시,중문동 ,22841,40,3,0,0,0,0,0,4.19,39,
서귀포시,서호동 ,40616,42,1,0,0,0,0,0,3.39,40,
서귀포시,신효동 ,33013,23,2,0,0,0,0,0,2.54,41,
제주시,용담삼동 ,25317,21,2,0,0,0,0,0,2.4,42,
서귀포시,보목동 ,10276,15,2,0,0,0,0,0,1.98,43,
제주시,도두일동 ,26214,13,2,0,0,0,0,0,1.84,44,
서귀포시,하원동 ,10910,13,2,0,0,0,0,0,1.84,44,
제주시,외도이동 ,19900,3,2,0,0,0,0,0,1.15,46,
제주시,오라일동 ,39033,14,0,0,0,0,0,0,0.97,47,
제주시,삼양일동 ,21291,9,0,0,0,0,0,0,0.63,48,
제주시,일도일동 ,18058,9,0,0,0,0,0,0,0.63,48,
제주시,도련이동 ,42425,8,0,0,0,0,0,0,0.56,50,
