공고명,기업명,경력,학력,우대,고용형태,급여,지역,시간,시작일,마감일,번호
(주)세스코 장애인 직군(Branch Assistant) 물류관리 모집(대전 유성구 근무),㈜세스코,경력무관,고졸이상,기본우대장애인/ 기본우대 장애인/ 인근거주자 ,계약직 근무기간 12개월,회사내규에 따름,대전시 유성구/ 대전전지역 ,주5일                                 (월~금) 08:30~15:00  일5H (오전/오후 선택) 탄력근무제,2023.05.30(화),2023.06.29(목),1
부천성모병원 콜센터 상담원 (장애인 전형),㈜평화아름,신입·경력,학력무관,기본우대장애인/ 기본우대 장애인/ 인근거주자/ 컴퓨터활용능력 우수자/ 유관업무 경험자(인턴·알바)/ 유관업무 경력자/ 장기근무 가능자 ,계약직 근무기간 2년                                                             정규직 전환가능,회사내규에 따름   - 면접 후 결정,경기도 부천시 ,주 40시간 기준                                  08:00~17:00  더보기    09:00~18:00   시간 더보기 레이어 닫기     상세모집요강 확인,2023.05.30(화),2023.06.29(목),2
[장애인전형] 게임디자인 재택근무 / UI/UX업무,한국장애인고용정보센터,경력무관,학력무관,Illustrator / Photoshop,계약직 근무기간 6개월                                                             정규직 전환가능,회사내규에 따름   - 면접 후 결정,경기도 수원시 권선구/ 서울시 강남구/ 성북구/ 용산구/ 은평구/ 도봉구/ 구로구/ 서초구/ 종로구/ 관악구/ 재택근무 가능 ,주5일                                 (월~금) 09:00~14:00  수습기간 근무시간 (최대 5시간),2023.06.29(목),2023.06.30(금),3
[장애인전형]홍보디자인 재택근무/미리캔버스/ 데이터입력.,한국장애인고용정보센터,경력무관,학력무관,Photoshop,계약직 근무기간 12개월,회사내규에 따름,경기도 수원시 권선구/ 과천시/ 부천시/ 시흥시/ 용인시 수지구/ 화성시/ 안산시 단원구/ 성남시 분당구/ 광명시/ 고양시 일산동구/ 성남시 수정구/ 수원시 팔달구/ 재택근무 가능 ,주5일                                 (월~금) 10:00~14:00,2023.06.29(목),2023.06.30(금),4
[장애인전형] 복지업체 아웃바운드 업무/ 재택근무.,한국장애인고용정보센터,경력무관,학력무관,Excel/ 워드,계약직 근무기간 3개월,회사내규에 따름   - 면접 후 결정,경기도 수원시 권선구/ 과천시/ 군포시/ 부천시/ 시흥시/ 용인시 수지구/ 화성시/ 안양시 만안구/ 안산시 단원구/ 성남시 분당구/ 광명시/ 고양시 덕양구/ 김포시/ 재택근무 가능 ,주5일                                 (월~금) 09:00~13:00,2023.06.29(목),2023.06.30(금),5
[장애인전형] 단시간 재택근무 /중증장애인/ 저작권매칭업무.,한국장애인고용정보센터,경력무관,학력무관,기본우대장애인/,계약직 근무기간 12개월,회사내규에 따름,경기도 수원시 권선구/ 서울시 마포구/ 용산구/ 은평구/ 송파구/ 도봉구/ 구로구/ 동대문구/ 종로구/ 영등포구/ 동작구/ 강서구/ 재택근무 가능 ,주5일                                 (월~금) 10:00~13:30,2023.06.29(목),2023.06.30(금),6
[장애인전형]송도대기업 바이오회사 디자이너/높은연봉/ 통근버스,㈜에프앤비네트웍스,경력 (4년이상),초대졸이상 (졸업예정자 가능),기본우대장애인/,정규직,회사내규에 따름   - 면접 후 결정,인천시 연수구/ 경기도 수원시 영통구/ 안양시 만안구/ 군포시/ 서울시 강남구/ 마포구 ,주5일                                 (월~금) 08:00~17:00,2023.06.29(목),2023.06.30(금),7
[장애인전형] 동탄 전기회사 미화사원 모집/ 근무시간 협의.,㈜에프앤비네트웍스,경력무관,학력무관,기본우대장애인/,계약직 근무기간 12개월,회사내규에 따름   - 면접 후 결정,경기도 화성시/ 수원시 팔달구/ 수원시 영통구/ 용인시 기흥구/ 오산시/ 수원시 권선구 ,주5일                                 (월~금) 06:00~16:00,2023.06.29(목),2023.06.30(금),8
[장애인전형]중견기업 제조업체 구매사무직 모집 /분당본사근무,㈜에프앤비네트웍스,경력무관,학력무관,기본우대장애인/,계약직                                                              정규직 전환가능,회사내규에 따름   - 면접 후 결정,경기도 성남시 분당구/ 수원시 영통구/ 용인시 수지구/ 안양시 만안구/ 서울시 서초구/ 강남구 ,주5일                                 (월~금) 09:00~18:00,2023.06.29(목),2023.06.30(금),9
[장애인전형]코스닥상장사 간단포장/화성/특별수당지급,㈜에프앤비네트웍스,경력무관,학력무관,기본우대장애인/,정규직  수습 3개월,회사내규에 따름   - 면접 후 결정,경기도 화성시/ 수원시 권선구/ 수원시 장안구/ 수원시 팔달구/ 수원시 영통구/ 오산시 ,주5일                                 (월~금) 08:30~17:30,2023.06.29(목),2023.06.30(금),10
[장애인전형]중견기업 생산직/통근버스(병점/오산/수원).,㈜에프앤비네트웍스,경력무관,학력무관,기본우대장애인/,계약직 근무기간 3개월,회사내규에 따름   - 면접 후 결정,경기도 화성시/ 수원시 권선구/ 수원시 장안구/ 수원시 팔달구/ 수원시 영통구/ 오산시 ,주5일                                 (월~금) 08:00~17:00  2조 2교대,2023.06.29(목),2023.06.30(금),11
EM실천 한글편집디자이너 채용-장애인고용,EM실천,신입,학력무관,기본우대장애인/ 기본우대 장애인/ 관련 학과 전공자/ 장기근무 가능자 ,계약직 근무기간 1년,연봉 2413~2420만원  - 면접 후 결정,서울시 금천구 ,주5일                                 (월~금) 09:00~18:00,2023.06.16(금),2023.06.30(금),12
[중증장애인만가능/재택근무] 사무업무 (엑셀업무)가능자 모집,마인드플러스기업정보,경력,학력무관,기본우대장애인/우대전공건축학,계약직 근무기간 12개월,회사내규에 따름   - 면접 후 결정,부산 해운대구/ 전국/ 재택근무 가능 ,주5일                                 (월~금) 09:00~12:00,2023.05.31(수),2023.06.30(금),13
아모그린텍 각 부문별 신입사원 모집,아모그린텍,신입,초대졸이상,CAD/ ERP/ 영어/ 일본어,정규직,회사내규에 따름   - 면접 후 결정,경기도 김포시/ 인천시 서구/ 충남 천안시 동남구/ 천안시 서북구/ 서울전지역 ,내용없음,2023.04.17(월),2023.06.30(금),14
[계룡/주간/주5일/장애인우대] 미화 및 재고관리 사원 모집,㈜맨파워코리아,경력무관,학력무관,기본우대장애인/,계약직,회사내규에 따름,충남 계룡시/ 대전전지역 ,주5일                                 (월~금) 09:00~18:00,2023.06.01(목),2023.07.01(토),15
㈜교보문고 [유통관리시스템 개발 및 운영] 신입사원 모집,㈜교보문고,신입,대졸이상,JAVA/ PostgreSQL/ Sybase/ Websquare,정규직  수습 3개월,회사내규에 따름   - 면접 후 결정,서울시 마포구 ,주5일                                 (월~금) 09:00~18:00,2023.06.01(목),2023.07.01(토),16
서울시중증장애인자립생활지원사업 팀장 채용 건,송파솔루션장애인자립생활센터,경력 (1년이상),대졸이상,기본우대장애인/자격증사회복지사2급 기본우대 장애인/ 컴퓨터활용능력 우수자/ 운전가능자/ 문서작성 우수자/ 관련 자격증 보유자/ 사회복지사2급/ 사회복지사1급 자격증사회복지사2급/ 사회복지사1급,계약직 근무기간 23개월                                                             정규직 전환가능,월급 238만원 이상  - 면접 후 결정,서울시 송파구 ,주5일(월~금)                                  10:00~19:00,2023.06.19(월),2023.07.02(일),17
[장애인 특별채용] 고객 컨설턴트 (인턴 / 원격근무 가능),㈜민병철교육그룹,경력무관,학력무관,기본우대국가유공자 기본우대 국가유공자/ 장애인/ 고용촉진지원금 대상자/ 취업보호대상자/ 보훈대상자 ,인턴 근무기간 3개월,회사내규에 따름   - 면접 후 결정,서울시 강남구/ 재택근무 가능 ,주5일                                 (월~금) 09:00~18:00,2023.06.23(금),2023.07.02(일),18
대상㈜ 6월 식품사업총괄 생산직 계약직 모집,대상㈜,신입,고졸이상,계획성/성실성/ 꼼꼼함,계약직 근무기간 12개월,회사내규에 따름   - 면접 후 결정,경기도 이천시 ,내용없음,2023.06.23(금),2023.07.02(일),19
한국씨티은행 부문별 채용 (소비자금융전산부/ 디지털솔루션부 마케팅/ 디지털솔루션부 상품 데이터 분석/ 사무자원관리부),㈜한국씨티은행,경력 모집분야별 상이,학력무관,성실성/성취지향성/ 계획성,정규직    계약직,회사내규에 따름,서울시 종로구/ 영등포구/ 인천시 남동구 ,내용없음,2023.06.26(월),2023.07.02(일),20
Naver I&S㈜ 및 자회사 각 부문 신입/경력 수시 채용,NaverI&S㈜,신입·경력,학력무관,MacOS/ Excel/ PowerPoint/ 워드/ OA/ 영어/ 일본어/ PC정비/ Windows,정규직  수습 3개월                                                           계약직 근무기간 2년,회사내규에 따름   - 면접 후 결정,경기도 성남시 분당구/ 강원도 춘천시/ 광주 동구/ 인천시 부평구 ,내용없음,2023.06.26(월),2023.07.02(일),21
(주)세스코 장애인 직군(Branch Assistant) 물류관리 모집 (경기 구리 근무),㈜세스코,경력무관,고졸이상,기본우대장애인/ 기본우대 장애인/ 인근거주자 ,계약직 근무기간 12개월,회사내규에 따름,경기도 구리시/ 경기전지역 ,주5일                                 (월~금) 08:30~15:00  일5H (오전/오후 선택) 탄력근무제,2023.04.04(화),2023.07.03(월),22
건국대학교 글로컬캠퍼스 일반직원 신규채용 공고문,건국대학교GLOCAL(글로컬)캠퍼스,신입,대졸이상 (졸업예정자 가능),HTML5/ JAVA/ Jquery/ JSP/ OracleDB/ Spring,정규직  수습 6개월,회사내규에 따름   - 면접 후 결정,충북 충주시 ,내용없음,2023.06.20(화),2023.07.03(월),23
중앙장애인편의증진기술지원센터 행정직(계약직) 공개채용,㈔한국지체장애인협회,경력무관,고졸이상,기본우대장애인/ 기본우대 장애인/ 취업보호대상자 ,계약직 근무기간 5개월,월급 250만원 이상,서울시 영등포구/ 용산구 ,주5일                                 (월~금) 09:00~18:00,2023.06.28(수),2023.07.04(화),24
㈜잇츠한불 경력사원 모집,㈜잇츠한불,경력 (3년이상),대졸이상,OA,정규직,회사내규에 따름   - 면접 후 결정,서울시 강남구 ,내용없음,2023.06.28(수),2023.07.04(화),25
[장애인 특별전형] 환경정비담당 채용 (계약직/ 단시간 근로자),㈜멀티캠퍼스,경력무관,고졸이상,기본우대장애인/ 기본우대 장애인/ 보훈대상자 ,계약직 근무기간 1년,회사내규에 따름   - 면접 후 결정,서울시 강남구 ,주5일                                 (월~금),2023.06.28(수),2023.07.05(수),26
[장애인 특별전형] 교육운영(이러닝)/ 사무지원 계약직 채용,㈜멀티캠퍼스,경력무관,초대졸이상,기본우대장애인/ 기본우대 장애인/ 보훈대상자 ,계약직 근무기간 1년,회사내규에 따름   - 면접 후 결정,서울시 강남구 ,주5일                                 (월~금),2023.06.28(수),2023.07.05(수),27
아산시장애인복지관 장애인 주말보호 사업 운영 사회복지사 공개채용,아산시장애인복지관,신입,초대졸이상,기본우대장애인/자격증사회복지사우대전공가족·사회·복지·아동·청소년학 기본우대 장애인 자격증사회복지사/ 자동차운전면허우대전공가족·사회·복지·아동·청소년학,계약직 근무기간 6개월,회사내규에 따름   - 면접 후 결정,충남 아산시 ,주3일 (금/토/일)                                  09:00~18:00,2023.06.28(수),2023.07.05(수),28
[장애인 특별채용] 문화재조사연구단 체험형 청년인턴 채용,한국문화재재단,신입,학력무관,기본우대15세(2009년생)~34세(1990년생) 기본우대 15세(2009년생)~34세(1990년생)/ 장애인 ,인턴 근무기간 8개월,회사내규에 따름,서울시 강남구/ 경북 경주시 ,주5일                                 (월~금) 09:00~16:00,2023.06.21(수),2023.07.05(수),29
[장애인채용전형] 삼성역 위치 법무법인 회사 홍보팀 사무보조 모집,인트로맨㈜기업정보,경력무관,학력무관,기본우대장애인/ 기본우대 장애인/ 프리젠테이션 능력우수자 ,계약직 근무기간 12개월                                                             정규직 전환가능,시급 9620원,서울시 강남구 ,주5일                                 (월~금) 09:00~18:00,2023.04.06(목),2023.07.05(수),30
깨끗한나라㈜ 2023년 3분기 채용,깨끗한나라㈜,신입·경력 (3년이상),대졸이상 (졸업예정자 가능),성실성/성장지향성/ 꼼꼼함,정규직,회사내규에 따름   - 면접 후 결정,서울시 용산구 ,내용없음,2023.06.26(월),2023.07.05(수),31
상품·계리·(부채)리스크 / 재무 / IT 부문 신입사원 공개채용,IBK연금보험,신입,학력무관,계획성/성취지향성/ 꼼꼼함,정규직,회사내규에 따름   - 면접 후 결정,서울시 중구 ,내용없음,2023.06.27(화),2023.07.06(목),32
경력직 채용 공고 [장기보상 (기획/ 의료분야)],메리츠화재해상보험,경력,대졸이상,계획성/협동심/ 꼼꼼함,정규직,회사내규에 따름   - 면접 후 결정,서울시 영등포구 ,내용없음,2023.06.27(화),2023.07.06(목),33
[긴급채용 / 경증장애인 채용공고] 사무보조 본사 출근 근무자 모집,㈜더이음에이치알,경력무관,학력무관,기본우대장애인/ 기본우대 장애인/ 인근거주자/ 컴퓨터활용능력 우수자/ 유관업무 경험자(인턴·알바)/ 문서작성 우수자/ 관련 자격증 보유자/ 유관업무 경력자/ 즉시출근 가능자 ,계약직 근무기간 1년,연봉 2800~3200만원,서울시 강서구 ,주5일                                 (월~금) 09:00~18:00,2023.06.27(화),2023.07.07(금),34
[경증장애인 채용공고 / 본사출근] 회계업무 근무자 모집,㈜더이음에이치알,경력무관,학력무관,기본우대장애인/ 기본우대 장애인/ 인근거주자/ 컴퓨터활용능력 우수자/ 유관업무 경험자(인턴·알바)/ 회계프로그램 능숙자/ 유관업무 경력자/ 즉시출근 가능자 ,계약직 근무기간 1년,연봉 2800~3200만원,서울시 강서구 ,주5일                                 (월~금) 09:00~18:00,2023.06.27(화),2023.07.07(금),35
[중증장애인 채용/상시채용] 사무보조 및 행정업무 근무자 모집 (재택근무),㈜더이음에이치알,경력무관,학력무관,기본우대장애인/ 기본우대 장애인/ 컴퓨터활용능력 우수자/ 유관업무 경험자(인턴·알바)/ 문서작성 우수자/ 관련 자격증 보유자/ 유관업무 경력자 ,계약직 근무기간 6개월,회사내규에 따름,서울시 영등포구/ 재택근무 가능 ,주5일                                 (월~금) 09:00~13:30,2023.06.27(화),2023.07.07(금),36
[본사/재택가능/장애인채용] 채용공고 관리/ 인재서칭 등 잡매니저,㈜데일리워크,경력무관,학력무관,Excel/ OA,정규직  수습 3개월                                                           계약직 근무기간 6개월                                                             정규직 전환가능,회사내규에 따름   - 면접 후 결정,서울시 구로구/ 서울전지역/ 인천전지역/ 경기전지역/ 안양시 만안구/ 안양시 동안구/ 재택근무 가능 ,주5일                                 (월~금) 09:00~18:00  더보기    10:00~17:00   시간 더보기 레이어 닫기     재택 근무시 10~17시,2023.06.24(토),2023.07.07(금),37
[데일리워크/장애인채용] 광고등록/ 홈페이지관리/ 인재서칭,㈜데일리워크,경력무관,학력무관,꼼꼼함/ 윤리의식/ 적응성/ 성실성,정규직  수습 3개월                                                           계약직 근무기간 6개월                                                             정규직 전환가능,회사내규에 따름   - 면접 후 결정,서울시 구로구 ,주5일                                 (월~금) 09:00~18:00,2023.06.24(토),2023.07.07(금),38
[장애인채용/사무직] 데일리워크 내부 잡매니저 채용,㈜데일리워크,경력무관,학력무관,Excel/ 워드/ OA,정규직  수습 3개월                                                           계약직 근무기간 6개월                                                             정규직 전환가능,회사내규에 따름   - 면접 후 결정,서울시 구로구/ 관악구/ 영등포구/ 동작구/ 마포구/ 서초구/ 재택근무 가능 ,주5일                                 (월~금) 09:00~18:00,2023.06.24(토),2023.07.07(금),39
[장애인채용] 밀리의서재 콘텐츠확장팀 모집,인트로맨㈜기업정보,경력무관,학력무관,기본우대장애인/ 기본우대 장애인/ 컴퓨터활용능력 우수자 ,계약직 근무기간 3개월,시급 9620원,서울시 마포구/ 재택근무 가능 ,주5일                                 (월/화/목/금) 10:00~16:00  13:00~14:00 점심시간,2023.05.08(월),2023.07.07(금),40
제조업 생산 자재관리 사원 모집 (장애인만 채용),앙쥬㈜,경력무관,학력무관,기본우대장애인/ 기본우대 장애인/ 인근거주자/ 유관업무 경험자(인턴·알바)/ 유관업무 경력자 ,정규직  수습 1개월,회사내규에 따름   - 면접 후 결정,부산 기장군 ,주5일                                 (월~금) 09:00~12:30  더보기    01:30~05:00   시간 더보기 레이어 닫기     오전반 9:00 ~ 12:30 오후반 13:30 ~ 17:00,2023.06.08(목),2023.07.08(토),41
경증 장애인 채용 공고 - 매장관리 및 내방객 응대,㈔보성유통사업단,경력무관,고졸이상,기본우대장애인/자격증정보처리기능사우대전공전산학·컴퓨터공학 기본우대 장애인/ 인근거주자/ 즉시출근 가능자/ 유관업종 경력자 자격증정보처리기능사/ 정보통신관련 자격증/ DB전산관련 자격증우대전공전산학·컴퓨터공학/ 정보·통신공학,정규직  수습 3개월,시급 9620원  - 면접 후 결정,서울시 강남구 ,주5일                                 (월~금) 13:00~18:00  근무시간 13:00~18:00 (5시간 근무),2023.06.08(목),2023.07.08(토),42
[장애인특별채용] 현대백화점 천호점 네일리스트 채용,현대백화점천호점,경력무관,학력무관,기본우대장애인/자격증네일 기본우대 장애인/ 관련 자격증 보유자 자격증네일,계약직 근무기간 1년,회사내규에 따름   - 면접 후 결정,서울시 강동구 ,주5일                                 (월~금) 13:00~18:00  휴게시간 30분,2023.06.19(월),2023.07.09(일),43
[롯데렌탈] 신입사원 모집 (계약직) 자동차관리/데스크/채널영업/영업/영업지원/물류,롯데렌탈㈜,신입,학력무관,성실성/꼼꼼함/ 계획성,계약직 근무기간 1년                                                                                                                              / 1년 근무 후/ 근무평가하여 재계약 검토,회사내규에 따름,서울시 강남구/ 전국 ,주5일                                 (월~금),2023.06.27(화),2023.07.09(일),44
