공고명,기업명,경력,학력,우대,고용형태,급여,지역,시간,시작일,마감일,번호
[장애인채용](주)한일엠이씨 사내 카페 운영 바리스타 모집,한일엠이씨,경력무관,학력무관,기본우대장애인/자격증바리스타 기본우대 장애인/ 인근거주자/ 관련 자격증 보유자/ 유관업무 경력자 자격증바리스타,정규직  수습 3개월,회사내규에 따름   - 면접 후 결정,서울시 영등포구 ,주5일                                 (월~금) 08:00~17:00  시간 협의 가능,2023.06.28(수),2023.07.28(금),62
[신라스테이] HQ 재무팀 경력사원 채용,신라에이치엠㈜,신입,초대졸이상 (졸업예정자 가능),SAP,정규직  수습 3개월,회사내규에 따름   - 면접 후 결정,서울시 중구 ,주5일                                 (월~금) 09:00~18:00,2023.05.30(화),2023.07.29(토),63
[중증장애인] 사무보조 재택근무,주식회사365기획,경력무관,학력무관,Excel/ 워드,계약직 근무기간 12개월,회사내규에 따름,서울시 강서구/ 전국/ 재택근무 가능 ,주5일                                 (월~금) 09:00~13:30  휴게시간 30분 포함,2023.05.02(화),2023.07.31(월),64
[장애인 채용] 음악 콘텐츠 관리 담당자,㈜드림어스컴퍼니,경력무관,학력무관,기본우대국가유공자 기본우대 국가유공자/ 장애인/ 보훈대상자 ,계약직 근무기간 6개월                                                             정규직 전환가능,회사내규에 따름,서울시 서초구 ,주5일                                 (월~금) 09:00~18:00  탄력근무제,2023.06.02(금),2023.08.01(화),65
콘센트릭스 Catalyst 장애인 특별전형 채용공고 개발직군 (People with Disability),콘센트릭스서비스코리아(유),경력 (1년이상),학력무관,기본우대장애인/,정규직  수습 3개월,회사내규에 따름   - 면접 후 결정,서울시 강남구/ 용산구 ,주5일                                 (월~금) 09:00~18:00,2023.05.11(목),2023.08.09(수),66
콘센트릭스 Catalyst 장애인 특별전형 채용공고 마케팅직군 (People with Disability),콘센트릭스서비스코리아(유),신입·경력 (1년이상),학력무관,기본우대장애인/,정규직  수습 3개월,회사내규에 따름   - 면접 후 결정,서울시 용산구 ,주5일                                 (월~금) 09:00~18:00,2023.05.11(목),2023.08.09(수),67
콘센트릭스 Catalyst 장애인 특별전형 채용공고 디자인직군 (People with Disability),콘센트릭스서비스코리아(유),신입·경력 (1년이상),학력무관,기본우대장애인/,정규직  수습 3개월,회사내규에 따름   - 면접 후 결정,서울시 용산구 ,주5일                                 (월~금) 09:00~18:00,2023.05.11(목),2023.08.09(수),68
[네오누리콤] 생산물류팀 포장/ 조립/ 전사인쇄지원 담당자 채용 (장애인 우선 채용),㈜네오누리콤,경력무관,학력무관,기본우대장애인/,정규직  수습 3개월,연봉 2500~2700만원,서울시 금천구 ,주5일                                 (월~금) 09:00~18:00,2023.06.13(화),2023.08.12(토),69
[네오누리콤] 생산물류팀 UV인쇄/ 레이저 인쇄 담당자 채용 (장애인 우대),㈜네오누리콤,경력무관,학력무관,기본우대장애인/,정규직  수습 3개월,연봉 2500~2700만원,서울시 금천구 ,주5일                                 (월~금) 09:00~18:00,2023.06.13(화),2023.08.12(토),70
[장애인채용전형] 충청권 금융권 대기업 일반사무 직군 채용,인트로맨㈜기업정보,경력무관,초대졸이상,기본우대장애인/,계약직,시급 15000원,대전시 서구/ 대전전지역/ 세종전지역 ,주5일                                 (월~금) 09:00~18:00,2023.05.15(월),2023.08.13(일),71
